PESO INICIAL;PESO FINAL;CEP INICIAL;CEP FINAL;VALOR DO FRETE;TEMPO DE ENTREGA
;20.00;11000001;11249999;64,05;16
;30.00;11000001;11249999;64,05;16
;40.00;11000001;11249999;85,47;16
;50.00;11000001;11249999;85,47;16
;60.00;11000001;11249999;102,6;16
;70.00;11000001;11249999;102,6;16
;80.00;11000001;11249999;117,42;16
;90.00;11000001;11249999;117,42;16
;100.00;11000001;11249999;117,42;16
;10.00;11000001;11249999;46,44;4
;20.00;11000001;11249999;55,21;4
;35.00;11000001;11249999;67,68;4
;50.00;11000001;11249999;79,51;4
;70.00;11000001;11249999;88,56;4
;10.00;11250000;11299999;48,53;7
;20.00;11250000;11299999;57,72;7
;35.00;11250000;11299999;70,77;7
;50.00;11250000;11299999;83,12;7
;70.00;11250000;11299999;92,58;7
;10.00;11250001;11299999;55,87;16
;20.00;11250001;11299999;64,05;16
;30.00;11250001;11299999;64,05;16
;40.00;11250001;11299999;85,47;16
;50.00;11250001;11299999;85,47;16
;60.00;11250001;11299999;102,6;16
;70.00;11250001;11299999;102,6;16
;80.00;11250001;11299999;117,42;16
;90.00;11250001;11299999;117,42;16
;100.00;11250001;11299999;117,42;16
;10.00;11300001;11399999;46,44;11
;20.00;11300001;11399999;55,21;11
;35.00;11300001;11399999;67,68;11
;50.00;11300001;11399999;79,51;11
;70.00;11300001;11399999;88,56;11
;10.00;11400001;11499999;59,3;16
;20.00;11400001;11499999;67,8;16
;30.00;11400001;11499999;67,8;16
;40.00;11400001;11499999;90,89;16
;50.00;11400001;11499999;90,89;16
;60.00;11400001;11499999;114;16
;70.00;11400001;11499999;114;16
;80.00;11400001;11499999;121,18;16
;90.00;11400001;11499999;121,18;16
;100.00;11400001;11499999;121,18;16
;10.00;11400001;11499999;48,53;4
;20.00;11400001;11499999;57,72;4
;35.00;11400001;11499999;70,77;4
;50.00;11400001;11499999;83,12;4
;70.00;11400001;11499999;92,58;4
;10.00;11500001;11599999;59,3;16
;20.00;11500001;11599999;67,8;16
;30.00;11500001;11599999;67,8;16
;40.00;11500001;11599999;90,89;16
;50.00;11500001;11599999;90,89;16
;60.00;11500001;11599999;114;16
;70.00;11500001;11599999;114;16
;80.00;11500001;11599999;121,18;16
;90.00;11500001;11599999;121,18;16
;100.00;11500001;11599999;121,18;16
;10.00;11500001;11599999;46,44;4
;20.00;11500001;11599999;55,21;4
;35.00;11500001;11599999;67,68;4
;50.00;11500001;11599999;79,51;4
;70.00;11500001;11599999;88,56;4
;10.00;11600001;11629999;48,53;23
;20.00;11600001;11629999;57,72;23
;35.00;11600001;11629999;70,77;23
;50.00;11600001;11629999;83,12;23
;70.00;11600001;11629999;92,58;23
;10.00;11630000;11659999;59,3;16
;20.00;11630000;11659999;67,8;16
;30.00;11630000;11659999;67,8;16
;40.00;11630000;11659999;90,89;16
;50.00;11630000;11659999;90,89;16
;60.00;11630000;11659999;114;16
;70.00;11630000;11659999;114;16
;80.00;11630000;11659999;121,18;16
;90.00;11630000;11659999;121,18;16
;100.00;11630000;11659999;121,18;16
;10.00;11630000;11659999;48,53;6
;20.00;11630000;11659999;57,72;6
;35.00;11630000;11659999;70,77;6
;50.00;11630000;11659999;83,12;6
;70.00;11630000;11659999;92,58;6
;10.00;11660001;11679999;59,3;16
;20.00;11660001;11679999;67,8;16
;30.00;11660001;11679999;67,8;16
;40.00;11660001;11679999;90,89;16
;50.00;11660001;11679999;90,89;16
;60.00;11660001;11679999;114;16
;70.00;11660001;11679999;114;16
;80.00;11660001;11679999;121,18;16
;90.00;11660001;11679999;121,18;16
;100.00;11660001;11679999;121,18;16
;10.00;11660001;11679999;48,53;5
;20.00;11660001;11679999;57,72;5
;35.00;11660001;11679999;70,77;5
;50.00;11660001;11679999;83,12;5
;70.00;11660001;11679999;92,58;5
;10.00;11680000;11699999;48,53;5
;20.00;11680000;11699999;57,72;5
;35.00;11680000;11699999;70,77;5
;50.00;11680000;11699999;83,12;5
;70.00;11680000;11699999;92,58;5
;10.00;11680001;11699999;59,3;16
;20.00;11680001;11699999;67,8;16
;30.00;11680001;11699999;67,8;16
;40.00;11680001;11699999;90,89;16
;50.00;11680001;11699999;90,89;16
